,Product Name,Product Price,Financing Option,Product Rating,Number of Ratings,SKU Code,Product URL
0,75” The Frame Art Mode LS03B,"$3,499.99",From $145.83/mo for 24 mos,4.4,2217,QN75LS03BAFXZC,https://www.samsung.com/ca/lifestyle-tvs/the-frame/ls03b-75-inch-the-frame-qled-4k-smart-tv-black-qn75ls03bafxzc/
1,"43"" Crystal UHD 4K Smart TV CU7000",$429.99,From $15.97/mo for 36 mos,4.5,1685,UN43CU7000FXZC,https://www.samsung.com/ca/tvs/uhd-4k-tv/crystal-uhd-4k-smart-tv-u7000-43-inch-un43cu7000fxzc/
2,"55"" OLED 4K Smart TV S90C","$1,899.99",From $52.78/mo for 36 mos,4.8,1528,QN55S90CAFXZC,https://www.samsung.com/ca/tvs/oled-tv/s90c-55-inch-oled-4k-smart-tv-qn55s90cafxzc/
3,"43"" Crystal UHD 4K Smart TV CU8000",$649.99,From $24.14/mo for 36 mos,4.6,565,UN43CU8000FXZC,https://www.samsung.com/ca/tvs/uhd-4k-tv/cu8000-43-inch-crystal-uhd-4k-smart-tv-un43cu8000fxzc/
4,"43"" QLED 4K Q60C",$599.99,From $22.28/mo for 36 mos,4.7,1149,QN43Q60CAFXZC,https://www.samsung.com/ca/tvs/qled-tv/q60c-43-inch-qled-4k-smart-tv-qn43q60cafxzc/
5,43” Crystal UHD 4K Smart TV Powered by Tizen™ TU690T,$499.99,From $18.57/mo for 36 mos,4.4,651,UN43TU690TFXZC,https://www.samsung.com/ca/tvs/uhd-4k-tv/tu690-43-inch-crystal-uhd-4k-smart-tv-un43tu690tfxzc/
6,"55"" OLED 4K Smart TV S95C","$2,499.99",From $69.44/mo for 36 mos,4.8,1206,QN55S95CAFXZC,https://www.samsung.com/ca/tvs/oled-tv/s95c-55-inch-oled-4k-smart-tv-qn55s95cafxzc/
7,"55"" Neo QLED 4K QN85C","$1,399.99",From $38.89/mo for 36 mos,4.8,822,QN55QN85CAFXZC,https://www.samsung.com/ca/tvs/qled-tv/qn85c-55-inch-neo-qled-4k-smart-tv-qn55qn85cafxzc/
8,"32"" Full HD Smart TV N5300",$299.99,From $11.14/mo for 36 mos,3.4,222,UN32N5300AFXZC,https://www.samsung.com/ca/tvs/full-hd-tv/n5300-32-inch-full-hd-smart-tv-un32n5300afxzc/
9,"32"" HD Smart TV M4500B",$229.99,From $8.54/mo for 36 mos,3.8,187,UN32M4500BFXZC,https://www.samsung.com/ca/tvs/hd-tv/m4500b-32-inch-hd-tv-un32m4500bfxzc/
10,"65"" Neo QLED 4K QN95C","$3,899.99",From $108.33/mo for 36 mos,4.8,208,QN65QN95CAFXZC,https://www.samsung.com/ca/tvs/qled-tv/qn95c-65-inch-neo-qled-4k-smart-tv-qn65qn95cafxzc/
11,The Premiere LSP7T,"$3,999.99",From $166.67/mo for 24 mos,4.7,105,SP-LSP7TFAXZC,https://www.samsung.com/ca/projectors/the-premiere/projector-sp-lsp7tfaxzc/
12,"70"" QLED 4K QE1","$1,199.99",From $44.57/mo for 36 mos,3.9,10,QN70QE1CAFXZC,https://www.samsung.com/ca/tvs/qled-tv/qe1-70-inch-qled-4k-smart-tv-qn70qe1cafxzc/
13,"55"" Neo QLED 4K QN90C","$1,799.99",From $50.00/mo for 36 mos,4.7,537,QN55QN90CAFXZC,https://www.samsung.com/ca/tvs/qled-tv/qn90c-55-inch-neo-qled-4k-smart-tv-qn55qn90cafxzc/
14,"65"" QLED 4K Q80C","$1,399.99",From $58.33/mo for 24 mos,4.7,497,QN65Q80CAFXZC,https://www.samsung.com/ca/tvs/qled-tv/q80c-65-inch-qled-4k-smart-tv-qn65q80cafxzc/
15,"65"" QLED 4K Q82C","$1,499.99",From $62.50/mo for 24 mos,4.7,226,QN65Q82CAFXZC,https://www.samsung.com/ca/tvs/qled-tv/q82-65-inch-qled-4k-smart-tv-qn65q82cafxzc/
16,"75"" Neo QLED 4K QN90C TV with HW-Q990C Soundbar","$4,599.98",Not Applicable,4.7,537,F-75QN90CQ990C,https://www.samsung.com/ca/tvs/qled-tv/neo-qled-4k-qn90c-tv-with-hw-q990c-soundbar-f-75qn90cq990c/
17,32” The Frame Art Mode LS03C,$699.99,From $29.17/mo for 24 mos,4.1,84,QN32LS03CBFXZC,https://www.samsung.com/ca/lifestyle-tvs/the-frame/ls03c-32-inch-the-frame-art-mode-black-qn32ls03cbfxzc/
18,"40"" Full HD Smart TV N5200",$349.99,From $13.00/mo for 36 mos,3.6,268,UN40N5200AFXZC,https://www.samsung.com/ca/tvs/full-hd-tv/j5200-40-inch-full-hd-smart-tv-un40n5200afxzc/
19,The Frame TV with white bezel and HW-S801B Soundbar,"$3,249.97",Not Applicable,4.4,2218,F-65LS03S801WT,https://www.samsung.com/ca/lifestyle-tvs/the-frame/the-frame-tv-with-white-bezel-and-hw-s801b-soundbar-f-65ls03s801wt/
20,OLED 4K Smart TV S95C with HW-S800B Soundbar,"$4,099.98",Not Applicable,4.8,1355,F-65S95CS800B,https://www.samsung.com/ca/tvs/oled-tv/oled-4k-smart-tv-s95c-with-hw-s800b-soundbar-f-65s95cs800b/
21,"55"" Neo QLED 4K QN92C","$1,899.99",From $52.78/mo for 36 mos,4.7,492,QN55QN92CAFXZC,https://www.samsung.com/ca/tvs/qled-tv/qn92c-55-inch-neo-qled-4k-smart-tv-qn55qn92cafxzc/
