Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
"Galaxy Book6 Edge (16"", X2E-88-100, 16GB), Copilot+ PC",denim blue,X2 Elite 88,NP960XRD-KB1CA,"$2,999.99",Not Available,From $83.33/mo for 36 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/computers/galaxy-book/galaxy-book6-edge-x2-elite-16gb-512gb-np960xrd-kb1ca/
"Galaxy Book6 Edge (16"", X2E-88-100, 16GB), Copilot+ PC",denim blue,512GB,NP960XRD-KB1CA,"$2,999.99",Not Available,From $83.33/mo for 36 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/computers/galaxy-book/galaxy-book6-edge-x2-elite-16gb-512gb-np960xrd-kb1ca/
"Galaxy Book6 Pro (14"", Ultra 7), a Copilot+ PC",Default,Intel® Core™ 7,NP944XJG-KG1CA,"$3,069.00",Not Available,From $85.25/mo for 36 mos,None,None,4.8,93,In Stock,https://www.samsung.com/ca/computers/galaxy-book/galaxy-book6-pro-ultra-7-32gb-1tb-np944xjg-kg1ca/
"Galaxy Book6 Pro (14"", Ultra 7), a Copilot+ PC",Default,1TB,NP944XJG-KG1CA,"$3,069.00",Not Available,From $85.25/mo for 36 mos,None,None,4.8,93,In Stock,https://www.samsung.com/ca/computers/galaxy-book/galaxy-book6-pro-ultra-7-32gb-1tb-np944xjg-kg1ca/
"Galaxy Book6 Pro (14.0"", Core Ultra 7, 16GB), a Copilot+ PC",gray,Intel® Core™ Ultra 7,NP940XJG-KG1CA,"$2,499.99",Not Available,From $69.44/mo for 36 mos,None,None,4.8,93,In Stock,https://www.samsung.com/ca/computers/galaxy-book/galaxy-book6-pro-ultra-7-16gb-512gb-np940xjg-kg1ca/
"Galaxy Book6 Pro (14.0"", Core Ultra 7, 16GB), a Copilot+ PC",gray,512GB,NP940XJG-KG1CA,"$2,499.99",Not Available,From $69.44/mo for 36 mos,None,None,4.8,93,In Stock,https://www.samsung.com/ca/computers/galaxy-book/galaxy-book6-pro-ultra-7-16gb-512gb-np940xjg-kg1ca/
"Galaxy Book4 Edge (16.0"", X Elite 80, 16G), a Copilot+ PC",sapphire blue,X Elite 80,NP960XMA-KB1CA,"$1,799.99","$2,299.99",From $75.00/mo for 24 mos,None,Save $500.00,4.5,246,In Stock,https://www.samsung.com/ca/computers/galaxy-book/galaxy-book4-edge-16-inch-x-elite-80-16gb-512gb-np960xma-kb1ca/
"Galaxy Book4 Edge (16.0"", X Elite 80, 16G), a Copilot+ PC",sapphire blue,512GB,NP960XMA-KB1CA,"$1,799.99","$2,299.99",From $75.00/mo for 24 mos,None,Save $500.00,4.5,246,In Stock,https://www.samsung.com/ca/computers/galaxy-book/galaxy-book4-edge-16-inch-x-elite-80-16gb-512gb-np960xma-kb1ca/
"Galaxy Book6 (14"", Core Ultra 5, 16GB), Copilot+ PC",gray,Intel® Core™ Ultra 5,NP740VJG-KA1CA,"$1,749.99",Not Available,From $48.61/mo for 36 mos,None,None,4,8,In Stock,https://www.samsung.com/ca/computers/notebook/galaxy-book6-14-inch-u5-ultra-5-16gb-512gb-np740vjg-ka1ca/
"Galaxy Book6 (14"", Core Ultra 5, 16GB), Copilot+ PC",gray,512GB,NP740VJG-KA1CA,"$1,749.99",Not Available,From $48.61/mo for 36 mos,None,None,4,8,In Stock,https://www.samsung.com/ca/computers/notebook/galaxy-book6-14-inch-u5-ultra-5-16gb-512gb-np740vjg-ka1ca/
