Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
"Electric Freestanding Range

Thermal Oven with Steam Clean

 

6.3 cu.ft.",stainless steel,Default,NE63A6111SS/AC,"$1,049.99",Not Available,From $33.87/mo for 36 mos,PICK,None,4.4,430,In Stock,https://www.samsung.com/ca/cooking-appliances/range/ne5000a--ne63a6111ss-ne63a6111ss-ac/
"Electric Slide-In Range

Fan Convection | Air Fry

 

6.3 cu.ft.",silver,Default,NE63A6511SS/AC,"$1,199.99",Not Available,From $38.71/mo for 36 mos,PICK,None,4.5,2303,In Stock,https://www.samsung.com/ca/cooking-appliances/range/ne5000a--ne63a6511ss-ne63a6511ss-ac/
"Gas Freestanding Range

Fan Convection | Air Fry

 

6.0 cu.ft.",silver,Default,NX60A6511SS/AA,"$1,399.99",Not Available,From $45.16/mo for 36 mos,PICK,None,4.5,1899,In Stock,https://www.samsung.com/ca/cooking-appliances/range/nx5000a--nx60a6511-nx60a6511ss-aa/
"Electric Slide-In Range

Fan Convection with Air Fry Max (w/ Tray) ...

 

6.3 cu.ft.",silver,Default,NSE70H63SRAC,"$1,699.99",Not Available,From $54.84/mo for 36 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/cooking-appliances/range/electric-slide-in-6-3-cu-ft-fan-convenction-with-air-fry-max-air-fry-tray-stainless-steel-nse70h63srac/
Electric Slide-In Range True Convection with Air Fry Max | ...,white,Default,NSE80H63SWAC,"$1,899.99",Not Available,From $61.29/mo for 36 mos,None,None,1,1,In Stock,https://www.samsung.com/ca/cooking-appliances/range/nse80h-30-electric-range-air-fry-max-pro-style-design-nse80h63swac/
Electric Slide-In Range True Convection with Air Fry Max | ...,black,Default,NSE80H63SEAC,"$1,899.99",Not Available,From $61.29/mo for 36 mos,None,None,1,1,In Stock,https://www.samsung.com/ca/cooking-appliances/range/nse80h-30-electric-range-air-fry-max-pro-style-design-nse80h63seac/
Electric Slide-In Range True Convection with Air Fry Max | ...,silver,Default,NSE80H63XRAC,"$1,699.99",Not Available,From $54.84/mo for 36 mos,None,None,1,1,In Stock,https://www.samsung.com/ca/cooking-appliances/range/electric-slide-in-6-3-cu-ft-true-convection-with-air-fry-max-air-sous-vide-air-fry-tray-stainless-steel-nse80h63xrac/
"Electric Slide-In Range True Convection with Air Fry Max |

Air Sous Vide |

 

Soft Closing Do...",white,Default,NSE90H63SWAC,"$2,299.99",Not Available,From $74.19/mo for 36 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/cooking-appliances/range/nse90h-30-electric-range-air-fry-max-pro-style-design-nse90h63swac/
"Electric Slide-In Range True Convection with Air Fry Max |

Air Sous Vide |

 

Soft Closing Do...",silver,Default,NSE90H63SRAC,"$2,199.99",Not Available,From $70.97/mo for 36 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/cooking-appliances/range/nse90h-30-electric-range-air-fry-max-pro-style-design-nse90h63srac/
"Gas Slide-In Range

Fan Convection with Air Fry Max (w/ Tray) ...

 

Self Clean 6.0 ...",silver,Default,NSG70H60SRAA,"$1,899.99",Not Available,From $61.29/mo for 36 mos,None,None,4.9,24,In Stock,https://www.samsung.com/ca/cooking-appliances/range/nsg70h-30-gas-range-air-fry-max-pro-style-design-nsg70h60sraa/
"Gas Slide-In Range

True Convection with Air Fry Max |

 

Air Sous Vide 6...",white,Default,NSG80H60SWAA,"$2,099.99",Not Available,From $67.74/mo for 36 mos,None,None,4.9,41,In Stock,https://www.samsung.com/ca/cooking-appliances/range/nsg80h-30-gas-range-air-fry-max-pro-style-design-nsg80h60swaa/
"Gas Slide-In Range

True Convection with Air Fry Max |

 

Air Sous Vide 6...",black,Default,NSG80H60SEAA,"$2,099.99",Not Available,From $67.74/mo for 36 mos,None,None,4.9,41,In Stock,https://www.samsung.com/ca/cooking-appliances/range/nsg80h-30-gas-range-air-fry-max-pro-style-design-nsg80h60seaa/
"Gas Slide-In Range

True Convection with Air Fry Max |

 

Air Sous Vide 6...",silver,Default,NSG80H60SRAA,"$1,999.99",Not Available,From $64.52/mo for 36 mos,None,None,4.9,41,In Stock,https://www.samsung.com/ca/cooking-appliances/range/nsg80h-30-gas-range-air-fry-max-pro-style-design-nsg80h60sraa/
"Induction Slide-In Range

Fan Convection | Air Fry

 

6.3 cu.ft.",clean gray,Default,NSI6DG9300SRAC,"$1,999.99",Not Available,From $64.52/mo for 36 mos,None,None,4.4,48,In Stock,https://www.samsung.com/ca/cooking-appliances/range/induction-slide-in-range-with-airfry-6-3-cu-ft-nsi6dg9300srac/
"Electric Slide-In Range 90H Flex Duo™ |

True Convection with Air Fry Max |

 

Illuminated Pre...",silver,Default,NSE90H63DRAC,"$2,699.99",Not Available,From $87.10/mo for 36 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/cooking-appliances/range/nse90h-flex-duo-nse90h63drac/
"Gas Slide-In Range 90H Flex Duo™ |

True Convection with Air Fry Max |

 

Illuminated Pre...",silver,Default,NSG90H60DRAA,"$2,799.99",Not Available,From $90.32/mo for 36 mos,None,None,4.8,5,In Stock,https://www.samsung.com/ca/cooking-appliances/range/nsg90h-flex-duo-nsg90h60draa/
"30"" Radiant Cooktop with Illuminated Knobs",black,Default,NZ30FG6332RKAA,"$1,249.99",Not Available,From $52.08/mo for 24 mos,None,None,5,5,In Stock,https://www.samsung.com/ca/cooking-appliances/hobs/nz9300k-e-star-radient-cooktop-6series-nz30fg6332rkaa/
"Gas Cooktop

SmartThings Wifi | Cast Iron Griddle

 

33""",silver,Default,NA30N7755TS/AA,"$1,699.99",Not Available,From $70.83/mo for 24 mos,None,None,4.4,166,In Stock,https://www.samsung.com/ca/cooking-appliances/hobs/gas-hob-with-5-burners-na30n7755ts-aa/
"Gas Cooktop

SmartThings Wifi | Cast Iron Griddle

 

33""",black,Default,NA30N7755TG/AA,"$1,899.99",Not Available,From $79.17/mo for 24 mos,None,None,4.4,166,In Stock,https://www.samsung.com/ca/cooking-appliances/hobs/gas-hob-with-5-burners-na30n7755tg-aa/
36” Bespoke 7 Series Chimney Hood with Triple Air Sensor,white,Default,NK36CB700W12AA,Not Available,Not Available,Not Applicable,None,None,4.7,74,In Stock,https://www.samsung.com/ca/cooking-appliances/hoods/7-series-chimney-hood-nk36cb700w12aa/
