Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
5.2 Cu.Ft. Front Load Washer With Self Clean+,black,5.2 cu.ft.,WF45T6000AV/A5,$999.99,Not Available,From $32.26/mo for 36 mos,PICK,None,4.6,1891,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wf6000r-front-loading-super-speed-4-5-cu-ft-black-wf45t6000av-a5/
5.2 Cu.Ft. Front Load Washer With Self Clean+,white,5.2 cu.ft.,WF45T6000AW/A5,$949.99,Not Available,From $30.65/mo for 36 mos,PICK,None,4.6,1891,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wf6000r-front-loading-super-speed-4-5-cu-ft-white-wf45t6000aw-a5/
5.0 Cu.Ft. Top Load Washer with ActiveWave™ Agitator,white,5.0 cu.ft.,WA44A3205AW/A4,$749.99,Not Available,From $24.19/mo for 36 mos,PICK,None,4.2,645,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wa3000j-5-cu-ft-white-wa44a3205aw-a4/
Electric Dryer 7.5 Cu.Ft.,black,Default,DVE45T6005V/AC,"$1,049.99",Not Available,From $33.87/mo for 36 mos,PICK,None,4.5,400,In Stock,https://www.samsung.com/ca/laundry/dryers/dv6000r-front-loading-sensor-dry-large-capacity-smart-care-7-5-cu-ft-black-dve45t6005v-ac/
Electric Dryer 7.5 Cu.Ft.,white,Default,DVE45T6005W/AC,$949.99,Not Available,From $30.65/mo for 36 mos,PICK,None,4.5,400,In Stock,https://www.samsung.com/ca/laundry/dryers/dv6000r-front-loading-sensor-dry-large-capacity-smart-care-7-5-cu-ft-white-dve45t6005w-ac/
7.2 Cu.Ft. Electric Dryer with Sensor Dry,white,7.2 cu.ft.,DVE45T3200W/AC,$749.99,Not Available,From $24.19/mo for 36 mos,PICK,None,4.4,50,In Stock,https://www.samsung.com/ca/laundry/dryers/dv3000j-front-loading-sensor-dry-smart-care-7-2-cu-ft-white-dve45t3200w-ac/
5.2 Cu.Ft. Washer with Steam Wash and Super Speed,white,5.2 cu.ft.,WF45B6300AW/US,Not Available,Not Available,Not Applicable,None,None,4.7,4126,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wf6300b-5-2-cu-ft-white-wf45b6300aw-us/
5.2 Cu.Ft. Washer with Steam Wash and Super Speed,maple gold,5.2 cu.ft.,WF45B6300AC/US,Not Available,Not Available,Not Applicable,None,None,4.7,4126,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wf6000r-4-5-cu-ft-dark-gray-wf45b6300ac-us/
5.2 Cu.Ft. Washer with Steam Wash and Super Speed,gray,5.2 cu.ft.,WF45B6300AP/US,"$1,149.99",Not Available,From $37.10/mo for 36 mos,None,None,4.7,4126,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wf6000r-4-5-cu-ft-gray-wf45b6300ap-us/
5.8 cu. ft. Front load Washer with Large Capacity and Super...,black,Default,WF50BG8300AVUS,"$1,299.99",Not Available,From $41.94/mo for 36 mos,None,None,4.7,1691,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wf8300b-front-loading-large-capacity-super-speed-energy-star-certified-5-cu-ft-black-wf50bg8300avus/
2.9 Cu.Ft. 5000 Series Compact Front Load Washer with Smart...,white,2.9 cu.ft.,WW25FG5B34BEAC,"$1,049.99",Not Available,From $33.87/mo for 36 mos,None,None,2.6,5,In Stock,https://www.samsung.com/ca/laundry/washing-machines/ww5000f-front-loading-ai-energy-mode-super-speed-spacemax-2-9-cu-ft-white-ww25fg5b34beac/
6.0 Cu.Ft. 5500 Series Top Load Washer with EZ Access Tub,white,6.0 cu.ft.,WA52DG5500AWUS,$949.99,Not Available,From $30.65/mo for 36 mos,None,None,4.7,650,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wa5500d-top-load-large-capacity-super-speed-25kg-white-wa52dg5500awus/
5.2 Cu.Ft. Top Load Washer with Soft Closing Lid,white,5.2 cu.ft.,WA45T3200AW/A4,$749.99,Not Available,From $24.19/mo for 36 mos,None,None,4.3,630,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wa3000j-top-loading-smart-care-self-clean-soft-close-lid-4-5-cu-ft-white-wa45t3200aw-a4/
"Bespoke AI Laundry Combo

All in One Combo

 

6.1 cu. ft",graphite,6.1 cu.ft.,WD53DBA900HZA1,"$2,699.99",Not Available,From $112.50/mo for 24 mos,None,None,4.6,1539,In Stock,https://www.samsung.com/ca/laundry/washer-dryer-combo/wd8000dk-900-series-all-in-one-combination-washer-and-dryer-5-3-cu-ft-dark-gray-wd53dba900hza1/
7.5 cu. ft. Dryers with Steam Sanitize and ENERGY STAR Cert...,black,Default,DVE50BG8300VAC,"$1,299.99",Not Available,From $41.94/mo for 36 mos,None,None,4.8,23,In Stock,https://www.samsung.com/ca/laundry/dryers/dv8300b-dryer-steam-sanitize-energy-star-certified-5-cu-ft-black-dve50bg8300vac/
