Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
"27"" Odyssey G5 G50F QHD 180Hz Gaming Monitor",black,"32""",LS32FG500ENXZA,$399.99,Not Available,From $18.45/mo for 24 mos,None,Save $100.00,5,1,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g5-g50f-32-inch-180hz-qhd-ls32fg500enxza/
"27"" Odyssey G5 G50F QHD 180Hz Gaming Monitor",black,27”,LS27FG500ENXZA,$349.99,$449.99,From $16.15/mo for 24 mos,None,Save $100.00,5,1,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g5-g50f-27-inch-180hz-qhd-ls27fg500enxza/
"32"" Odyssey Gaming Monitor G5",black,"32""",LS32CG550ENXZA,$249.99,$399.99,From $21.97/mo for 12 mos,None,Save $150.00,4.7,23,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g5-g55c-32-inch-165hz-curved-qhd-ls32cg550enxza/
"32"" Odyssey Gaming Monitor G5",black,27”,LS27CG550ENXZA,$189.99,$349.99,Not Applicable,None,Save $150.00,4.7,23,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g5-g55c-27-inch-165hz-curved-qhd-ls27cg550enxza/
"49"" Odyssey OLED G9 G95SD DQHD 240Hz Gaming Monitor",silver,"49""",LS49DG954SNXGO,"$1,499.99","$2,299.99",From $41.67/mo for 36 mos,None,Save $800.00,4.6,139,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-oled-g9-g95sd-49-inch-oled-dual-qhd-ls49dg954snxgo/
"49"" Odyssey OLED G9 Gaming Monitor G93SC",light gray,"49""",LS49CG932SNXZA,"$1,299.99","$1,999.99",From $54.17/mo for 24 mos,Back to School,Save $700.00,4.2,458,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-oled-g9-g93sc-49-inch-240hz-curved-dual-qhd-ls49cg932snxza/
27 Inch Odyssey OLED G6 G61SH QHD 240Hz Gaming Monitor,black,27”,LS27HG612SNXZA,$799.99,Not Available,From $25.81/mo for 36 mos,None,None,4.6,27,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-oled-g6-g61sh-27-inch-240hz-oled-qhd-ls27hg612snxza/
"49"" Odyssey G9 G91F DQHD 144Hz Gaming Monitor",black,"49""",LS49FG910ENXZA,"$1,499.99",Not Available,From $62.50/mo for 24 mos,None,None,4.4,108,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g9-g91f-49-inch-144hz-dual-qhd-ls49fg910enxza/
32 Inch Odyssey OLED G8 G80SH 4K 240Hz Gaming Monitor (2026...,silver,"32""",LS32HG802SNXZA,"$1,199.99","$1,899.99",From $50.00/mo for 24 mos,None,Save $700.00,4.8,104,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-oled-g8-g80sh-32-inch-4k-uhd-240hz-ls32hg802snxza/
32 Inch Odyssey OLED G8 G80SH 4K 240Hz Gaming Monitor (2026...,silver,27”,LS27HG802SNXZA,"$1,399.99","$1,749.99",From $58.33/mo for 24 mos,None,Save $700.00,4.8,104,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-oled-g8-g80sh-27-inch-4k-uhd-240hz-ls27hg802snxza/
40 ViewFinity S8 S85TH 5K2K WUHD 144Hz Monitor (2026),black,"40""",LS40H852TANXZA,"$1,599.99","$1,999.99",From $66.67/mo for 24 mos,None,Save $400.00,Not Rated,0,In Stock,https://www.samsung.com/ca/monitors/high-resolution/viewfinity-s8-s85th-40-inch-5k2k-curved-wuhd-ls40h852tanxza/
"27"" Odyssey OLED G5 G50SF QHD 180Hz Gaming Monitor",black,"27""",LS27FG502SNXZA,$449.99,$699.99,From $20.76/mo for 24 mos,None,Save $250.00,Not Rated,0,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-oled-g5-g50sf-27-inch-180hz-oled-qhd-ls27fg502snxza/
"27"" Essential Monitor S3 S32GF Full HD 120Hz",black,27”,LS27F320GANXZA,$209.99,Not Available,From $18.46/mo for 12 mos,None,None,4.8,10,In Stock,https://www.samsung.com/ca/monitors/full-hd-1080p/essential-monitor-s3-s32gf-27-inch-fhd-ips-120hz-ls27f320ganxza/
"27"" Essential Monitor S3 S32GF Full HD 120Hz",black,"24""",LS24F320GANXZA,$99.99,$169.99,Not Applicable,None,None,4.8,10,In Stock,https://www.samsung.com/ca/monitors/full-hd-1080p/essential-monitor-s3-s32gf-24-inch-fhd-ips-120hz-ls24f320ganxza/
"27"" Essential Monitor S3 S36GD FHD 100Hz",black,"27""",LS27D368GANXZA,$129.99,$209.99,Not Applicable,None,Save $80.00,4.5,13,In Stock,https://www.samsung.com/ca/monitors/curved/essential-monitor-s3-27-inch-100hz-ls27d368ganxza/
"27"" Essential Monitor S3 S36GD FHD 100Hz",black,"24""",LS24D368GANXZA,$159.99,Not Available,Not Applicable,None,Save $80.00,4.5,13,In Stock,https://www.samsung.com/ca/monitors/curved/essential-monitor-s3-24-inch-100hz-ls24d368ganxza/
"27"" Odyssey OLED G8 G81SF UHD 4K 240Hz Gaming Monitor",silver,"32""",LS32FG810SNXZA,$999.99,"$1,699.99",From $41.67/mo for 24 mos,None,Save $750.00,4.6,404,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-oled-g8-g81sf-32-inch-240hz-oled-uhd-ls32fg810snxza/
"27"" Odyssey OLED G8 G81SF UHD 4K 240Hz Gaming Monitor",silver,27”,LS27FG810SNXZA,$899.99,"$1,649.99",From $37.50/mo for 24 mos,None,Save $750.00,4.6,404,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-oled-g8-g81sf-27-inch-240hz-oled-uhd-ls27fg810snxza/
"24"" Essential Monitor S3 S30GD FHD 100Hz",black,"27""",LS27D300GANXZA,$119.99,$189.99,Not Applicable,Back to School,None,4.5,20,In Stock,https://www.samsung.com/ca/monitors/full-hd-1080p/essential-monitor-s3-s30gd-27-inch-fhd-ips-100hz-ls27d300ganxza/
"24"" Essential Monitor S3 S30GD FHD 100Hz",black,"24""",LS24D300GANXZA,$149.99,Not Available,Not Applicable,Back to School,None,4.5,20,In Stock,https://www.samsung.com/ca/monitors/full-hd-1080p/essential-monitor-s3-s30gd-24-inch-fhd-ips-100hz-ls24d300ganxza/
