Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
"30"" 16 cu.ft. Counter Depth Bottom Mount Refrigerator",silver,16 cu.ft.,RB16DG6000SLAA,"$1,099.99",Not Available,From $35.48/mo for 36 mos,PICK,None,4.9,20,In Stock,https://www.samsung.com/ca/refrigerators/bottom-mount-freezer/30-inch-bottom-mount-refrigerator-16-0-cu-ft-stainless-steel-rb16dg6000slaa/
"3-Door French Door Refrigerator

RF40

 

22 cu.ft.",silver,22.1 cu.ft,RF22A4111SR/AA,"$1,599.99",Not Available,From $51.61/mo for 36 mos,PICK,None,4.6,287,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf4500a-french-door-refrigerator-flat-door-design-22-cu-ft-silver-rf22a4111sr-aa/
"3-Door French Door Refrigerator

RF50 | Twin Cooling Plus™

 

18 cu.ft.",silver,18 cu.ft.,RF18A5101SR/AA,"$1,599.99",Not Available,From $51.61/mo for 36 mos,PICK,None,4.2,783,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf5000a-18-cu-ft-silver-rf18a5101sr-aa/
"3-Door French Door Refrigerator

RF50 | Twin Cooling Plus™

 

18 cu.ft.",black silver,18 cu.ft.,RF18A5101MT/AA,"$1,699.99",Not Available,From $54.84/mo for 36 mos,PICK,None,4.2,783,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf5000a-18-cu-ft-black-rf18a5101mt-aa/
"3-Door French Door Refrigerator

RF50 | Twin Cooling Plus™

 

18 cu.ft.",black,18 cu.ft.,RF18A5101SG/AA,Not Available,Not Available,Not Applicable,PICK,None,4.2,783,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf5000a-18-cu-ft-black-rf18a5101sg-aa/
"3-Door French Door Refrigerator

RF50 | Beverage Center™ | Dual Ice Maker

 

25 cu.ft.",silver,Default,RF25C5551SR/AA,"$2,099.98",Not Available,From $67.74/mo for 36 mos,PICK,None,4.6,456,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf5000c-24-5-cu-ft-silver-rf25c5551sr-aa/
"3-Door French Door Refrigerator

RF50 | Beverage Center™ | Dual Ice Maker

 

25 cu.ft.",black,Default,RF25C5551SG/AA,Not Available,Not Available,Not Applicable,PICK,None,4.6,456,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf5000c-24-5-cu-ft-black-rf25c5551sg-aa/
"3-Door French Door Refrigerator

RF40 | Water Dispenser

 

22 cu. Ft.",silver,22 cu.ft.,RF22A4221SR/AA,"$1,899.99",Not Available,From $61.29/mo for 36 mos,None,None,4.5,395,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf4500a-french-door-refrigerator-dispensor-22-cu-ft-silver-rf22a4221sr-aa/
"3-Door French Door Refrigerator

RF40 | Water Dispenser

 

22 cu. Ft.",black,22 cu.ft.,RF22A4221SG/AA,Not Available,Not Available,Not Applicable,None,None,4.5,395,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf4500a-french-door-refrigerator-dispensor-22-cu-ft-black-rf22a4221sg-aa/
"Bespoke AI 4-Door French Door Refrigerator

RF80 | FlexZone™ | Dual Ice Maker

 

23 cu.ft.",silver,Default,RF23BB8600QLAA,"$2,999.99",Not Available,From $125.00/mo for 24 mos,None,None,4.7,2801,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf8000bc-4-door-french-door-beverage-center-23-cu-ft-silver-rf23bb8600qlaa/
"Bespoke AI 4-Door French Door Refrigerator

RF80 | FlexZone™ | Dual Ice Maker

 

23 cu.ft.",silver,Default,RF29BB8600QLAA,"$2,999.99",Not Available,From $125.00/mo for 24 mos,None,None,4.7,2972,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf8000b-4-door-french-door-beverage-center-29-cu-ft-silver-rf29bb8600qlaa/
"3-Door French Door Refrigerator RF70 Host | Zero Clearance ...

External Water & Ice Dispenser

 

24 cu.ft.",silver,24.6 cu.ft.,RF70H25HERAA,"$2,499.99",Not Available,From $80.65/mo for 36 mos,None,None,4.8,202,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf80h-36-3dr-french-door-zero-clearance-fit-with-space-max-24-cu-ft-silver-rf70h25heraa/
"3-Door French Door Refrigerator RF60 Jumbo | External Water...

Ice Dispenser

 

26 Cu.ft.",silver,Default,RF32CG5B30SRAA,"$2,299.99",Not Available,From $95.83/mo for 24 mos,None,None,4.8,224,In Stock,https://www.samsung.com/ca/refrigerators/french-door/fdr-refrigerator-rf6500-family-hub-26-cu-ft-silver-rf32cg5b30sraa/
"3-Door French Door Refrigerator RF70 Sleek | Zero Clearance...
3-Door French Door Refrigerator RF70 Sleek | Zero Clearance Fit |

In-Door Tall Dispenser

 

24 cu.ft.",silver,Default,RF70H25KERAA,"$2,299.99",Not Available,From $95.83/mo for 24 mos,None,None,4.8,325,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf80h-36-3dr-internal-dispenser-french-door-zero-clearance-fit-with-space-max-24-cu-ft-silver-rf70h25keraa/
"Column Freezer

RZ40 | Convertible to Fridge | Reversible ...

 

11 Cu.ft.",silver,15 cu.ft.,RZ40H11PETAA,"$1,099.99",Not Available,From $35.48/mo for 36 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/refrigerators/one-door/ri80h24-rz40h32pet-11-4-cu-ft-silver-rz40h11petaa/
"Bespoke AI 4-Door French Door Refrigerator RF90 |

Beverage Center™ |

 

Dual Ice Maker ...",vibe dark metal,29 cu.ft.,RF29DB9600QLAA,"$3,799.99",Not Available,From $122.58/mo for 36 mos,None,None,4.6,358,In Stock,https://www.samsung.com/ca/refrigerators/french-door/french-door-beverage-center-29-cu-ft-stainless-steel-rf29db9600qlaa/
"Bespoke AI 4-Door French Door Refrigerator RF80 |

Family Hub™ |

 

Auto Open Door ...",white,23 cu.ft.,RF23DB990012AC,"$4,699.99",Not Available,From $195.83/mo for 24 mos,None,None,4.6,343,In Stock,https://www.samsung.com/ca/refrigerators/french-door/bespoke-counter-depth-4-door-flex-refrigerator-with-family-hub-23-cu-ft-white-glass-rf23db990012ac/
"Bespoke AI 4-Door French Door Refrigerator RF80 |

Family Hub™ |

 

Auto Open Door ...",cosmic gray,23 cu.ft.,RF23DB9900QDAC,"$4,699.99",Not Available,From $195.83/mo for 24 mos,None,None,4.6,343,In Stock,https://www.samsung.com/ca/refrigerators/french-door/bespoke-counter-depth-4-door-flex-refrigerator-with-family-hub-23-cu-ft-stainless-steel-rf23db9900qdac/
"Bespoke AI 4-Door French Door 36"" 29 Cu.Ft. RF80 Ace |

AI Family HubTM Screen & AI Vision Ins...

 

FlexZone™ Drawe...",charcoal glass&stainless steel,Default,RF90F29AECRAC,"$4,799.99",Not Available,From $200.00/mo for 24 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf90f-36-bespoke-ai-refrigerator-fdr-family-hub-and-ai-vision-inside-22-5-cu-ft-rf90f29aecrac/
"Bespoke AI 4-Door French Door 36"" 23 Cu.Ft. RF80 Ace |

AI Family HubTM Screen & AI Vision Ins...

 

FlexZone™ Drawe...",charcoal glass&stainless steel,Default,RF90F23AECRAC,"$4,799.99",Not Available,From $200.00/mo for 24 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf90f-36-bespoke-ai-refrigerator-fdr-family-hub-and-ai-vision-inside-22-5-cu-ft-rf90f23aecrac/
"3-Door French Door Refrigerator RF70 Sleek | Zero Clearance...

In-Door Tall Dispenser

 

29 cu.ft.",black,29 cu.ft.,RF70H30KEEAA,"$2,399.99",Not Available,From $100.00/mo for 24 mos,None,None,4.8,325,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf80h-36-3dr-internal-dispenser-french-door-zero-clearance-fit-with-space-max-29-cu-ft-black-rf70h30keeaa/
"3-Door French Door Refrigerator RF70 Sleek | Zero Clearance...

In-Door Tall Dispenser

 

29 cu.ft.",silver,29 cu.ft.,RF70H30KERAA,"$2,299.99",Not Available,From $95.83/mo for 24 mos,None,None,4.8,325,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf80h-36-3dr-internal-dispenser-french-door-zero-clearance-fit-with-space-max-29-cu-ft-silver-rf70h30keraa/
