Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
Galaxy S26 FE,pistachio,256 GB,SM-S741WLGEXAC,"$1,189.99",Not Available,From $49.58/mo for 24 mos,New,Save up to $490 with an eligible trade-in,Not Rated,0,In Stock,https://www.samsung.com/ca/smartphones/galaxy-s/galaxy-s26-fe-pistachio-256gb-sm-s741wlgexac/
Galaxy S26 FE,pistachio,128 GB,SM-S741WLGAXAC,"$1,049.99",Not Available,From $43.75/mo for 24 mos,New,Save up to $490 with an eligible trade-in,Not Rated,0,In Stock,https://www.samsung.com/ca/smartphones/galaxy-s/galaxy-s26-fe-pistachio-128gb-sm-s741wlgaxac/
Galaxy S26 FE,blueberry,256 GB,SM-S741WZVEXAC,"$1,189.99",Not Available,From $49.58/mo for 24 mos,New,Save up to $490 with an eligible trade-in,Not Rated,0,In Stock,https://www.samsung.com/ca/smartphones/galaxy-s/galaxy-s26-fe-blueberry-256gb-sm-s741wzvexac/
Galaxy S26 FE,blueberry,128 GB,SM-S741WZVAXAC,"$1,049.99",Not Available,From $43.75/mo for 24 mos,New,Save up to $490 with an eligible trade-in,Not Rated,0,In Stock,https://www.samsung.com/ca/smartphones/galaxy-s/galaxy-s26-fe-blueberry-128gb-sm-s741wzvaxac/
Galaxy S26 FE,graphite,256 GB,SM-S741WZKEXAC,"$1,189.99",Not Available,From $49.58/mo for 24 mos,New,Save up to $490 with an eligible trade-in,Not Rated,0,In Stock,https://www.samsung.com/ca/smartphones/galaxy-s/galaxy-s26-fe-graphite-256gb-sm-s741wzkexac/
Galaxy S26 FE,graphite,128 GB,SM-S741WZKAXAC,"$1,049.99",Not Available,From $43.75/mo for 24 mos,New,Save up to $490 with an eligible trade-in,Not Rated,0,In Stock,https://www.samsung.com/ca/smartphones/galaxy-s/galaxy-s26-fe-graphite-128gb-sm-s741wzkaxac/
Galaxy Z Fold8 (Samsung.com only),pistachio,512 GB,SM-F971WZGEXAC,"$2,679.99",Not Available,From $111.67/mo for 24 mos,New,None,4.9,4603,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8/
Galaxy Z Fold8 (Samsung.com only),pistachio,256 GB,SM-F971WZGAXAC,"$2,399.99",Not Available,From $100.00/mo for 24 mos,New,None,4.9,4603,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8/
Galaxy Z Fold8 Ultra (Samsung.com only),green shadow,512 GB,SM-F976WDGAXAC,"$2,699.99",Not Available,From $112.50/mo for 24 mos,New,None,4.8,6969,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8-ultra/
Galaxy Z Flip8 (Samsung.com only),mint,512 GB,SM-F776WLGEXAC,"$1,829.99",Not Available,From $76.25/mo for 24 mos,New,None,4.9,1895,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-flip8/
Galaxy Z Flip8 (Samsung.com only),mint,256 GB,SM-F776WLGAXAC,"$1,549.99",Not Available,From $64.58/mo for 24 mos,New,None,4.9,1895,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-flip8/
Galaxy Z Fold8,cream,1 TB,SM-F971WZWEXAC,"$2,679.99",Not Available,From $111.67/mo for 24 mos,New,None,4.9,6484,Out of Stock / Unavailable,https://www.samsung.com/ca/smartphones/galaxy-z-fold8/
Galaxy Z Fold8,cream,512 GB,SM-F971WZWEXAC,"$2,679.99",Not Available,From $111.67/mo for 24 mos,New,None,4.9,6484,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8/
Galaxy Z Fold8,cream,256 GB,SM-F971WZWAXAC,"$2,399.99",Not Available,From $100.00/mo for 24 mos,New,None,4.9,6484,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8/
Galaxy Z Fold8,graphite,1 TB,SM-F971WZKFXAC,"$3,239.99",Not Available,From $135.00/mo for 24 mos,New,None,4.9,6484,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8/
Galaxy Z Fold8,graphite,512 GB,SM-F971WZKEXAC,"$2,679.99",Not Available,From $111.67/mo for 24 mos,New,None,4.9,6484,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8/
Galaxy Z Fold8,graphite,256 GB,SM-F971WZKAXAC,"$2,399.99",Not Available,From $100.00/mo for 24 mos,New,None,4.9,6484,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8/
Galaxy Z Fold8,lavender,1 TB,SM-F971WLVFXAC,"$3,239.99",Not Available,From $135.00/mo for 24 mos,New,None,4.9,6484,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8/
Galaxy Z Fold8,lavender,512 GB,SM-F971WLVEXAC,"$2,679.99",Not Available,From $111.67/mo for 24 mos,New,None,4.9,6484,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8/
Galaxy Z Fold8,lavender,256 GB,SM-F971WLVAXAC,"$2,399.99",Not Available,From $100.00/mo for 24 mos,New,None,4.9,6484,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8/
Galaxy Z Fold8 Ultra,cream,1 TB,SM-F976WZWEXAC,"$2,979.99",Not Available,From $124.17/mo for 24 mos,New,None,4.9,4214,Out of Stock / Unavailable,https://www.samsung.com/ca/smartphones/galaxy-z-fold8-ultra/
Galaxy Z Fold8 Ultra,cream,512 GB,SM-F976WZWEXAC,"$2,979.99",Not Available,From $124.17/mo for 24 mos,New,None,4.9,4214,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8-ultra/
Galaxy Z Fold8 Ultra,cream,256 GB,SM-F976WZWAXAC,"$2,699.99",Not Available,From $112.50/mo for 24 mos,New,None,4.9,4214,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8-ultra/
Galaxy Z Fold8 Ultra,graphite,1 TB,SM-F976WZKFXAC,"$3,539.99",Not Available,From $147.50/mo for 24 mos,New,None,4.9,4214,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8-ultra/
Galaxy Z Fold8 Ultra,graphite,512 GB,SM-F976WZKEXAC,"$2,979.99",Not Available,From $124.17/mo for 24 mos,New,None,4.9,4214,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8-ultra/
Galaxy Z Fold8 Ultra,graphite,256 GB,SM-F976WZKAXAC,"$2,699.99",Not Available,From $112.50/mo for 24 mos,New,None,4.9,4214,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8-ultra/
Galaxy Z Fold8 Ultra,violet shadow,1 TB,SM-F976WZVFXAC,"$3,539.99",Not Available,From $147.50/mo for 24 mos,New,None,4.9,4214,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8-ultra/
Galaxy Z Fold8 Ultra,violet shadow,512 GB,SM-F976WZVEXAC,"$2,979.99",Not Available,From $124.17/mo for 24 mos,New,None,4.9,4214,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8-ultra/
Galaxy Z Fold8 Ultra,violet shadow,256 GB,SM-F976WZVAXAC,"$2,699.99",Not Available,From $112.50/mo for 24 mos,New,None,4.9,4214,In Stock,https://www.samsung.com/ca/smartphones/galaxy-z-fold8-ultra/
