Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
Q-Series Soundbar HW-Q990H 11.1.4ch Subwoofer & Rear Speake...,black,Default,HW-Q990H/ZC,"$1,799.99","$2,199.99",From $58.07/mo for 36 mos,None,Save $400.00,4.9,380,In Stock,https://www.samsung.com/ca/audio-devices/soundbar/q990h-black-hw-q990h-zc/
B-series Soundbar HW-B650F 3.1 ch Subwoofer (2025),black,Default,HW-B650F/ZC,$399.99,Not Available,From $18.45/mo for 24 mos,None,None,4.8,10,In Stock,https://www.samsung.com/ca/audio-devices/soundbar/b650f-black-hw-b650f-zc/
B-series Soundbar HW-B630F 3.1 ch Subwoofer,black,Default,HW-B630F/ZC,$299.99,Not Available,From $26.37/mo for 12 mos,None,None,5,3,In Stock,https://www.samsung.com/ca/audio-devices/soundbar/b630f-black-hw-b630f-zc/
B-series Soundbar HW-B550F 2.1 ch Subwoofer,black,Default,HW-B550F/ZC,$179.99,$249.99,Not Applicable,None,Save $70.00,4.6,122,In Stock,https://www.samsung.com/ca/audio-devices/soundbar/b550f-black-hw-b550f-zc/
Sound Tower MX-ST50F Party Speaker,black,Default,MX-ST50F/ZC,$699.99,Not Available,From $22.58/mo for 36 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/audio-devices/sound-tower/st50f-black-mx-st50f-zc/
Sound Tower MX-ST40F Party Speaker,black,Default,MX-ST40F/ZC,$499.99,Not Available,From $16.13/mo for 36 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/audio-devices/sound-tower/st40f-black-mx-st40f-zc/
Music Studio 7 LS70H WiFi-Bluetooth Wireless Speaker (2026),black,Default,HW-LS70H/ZC,$649.99,Not Available,From $20.97/mo for 36 mos,None,None,4.8,177,In Stock,https://www.samsung.com/ca/audio-devices/wireless-speaker/ls70h-black-hw-ls70h-zc/
Music Frame Design HW-LS60D Wireless Speaker,black,Default,HW-LS60D/ZC,$499.99,Not Available,From $16.13/mo for 36 mos,None,None,4.5,481,In Stock,https://www.samsung.com/ca/audio-devices/others/ls60d-black-hw-ls60d-zc/
Music Studio 5 LS50H WiFi-Bluetooth Wireless Speaker (2026),white,Default,HW-LS51H/ZC,Not Available,Not Available,Not Applicable,None,None,4.8,96,In Stock,https://www.samsung.com/ca/audio-devices/wireless-speaker/ls51h-white-hw-ls51h-zc/
Music Studio 5 LS50H WiFi-Bluetooth Wireless Speaker (2026),black,Default,HW-LS50H/ZC,$349.99,Not Available,From $16.15/mo for 24 mos,None,None,4.8,96,In Stock,https://www.samsung.com/ca/audio-devices/wireless-speaker/ls50h-black-hw-ls50h-zc/
