Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
"55"" OLED S88H 4K Samsung Vision AI Smart TV (2026)",Default,"77""",QN77S88HAEXZC,"$2,599.99","$3,799.99",From $108.33/mo for 24 mos,OLED TV Savings Ev...,Save $700.00,4.9,73,In Stock,https://www.samsung.com/ca/tvs/oled-tv/s85h-77-inch-4k-smart-tv-qn77s88haexzc/
"55"" OLED S88H 4K Samsung Vision AI Smart TV (2026)",Default,"65""",QN65S88HAEXZC,"$1,799.99","$2,599.99",From $75.00/mo for 24 mos,OLED TV Savings Ev...,Save $700.00,4.9,73,In Stock,https://www.samsung.com/ca/tvs/oled-tv/s85h-65-inch-4k-smart-tv-qn65s88haexzc/
"55"" OLED S88H 4K Samsung Vision AI Smart TV (2026)",Default,"55""",QN55S88HAEXZC,"$1,399.99","$2,099.99",From $58.33/mo for 24 mos,OLED TV Savings Ev...,Save $700.00,4.9,73,In Stock,https://www.samsung.com/ca/tvs/oled-tv/s85h-55-inch-4k-smart-tv-qn55s88haexzc/
"65"" Micro RGB R85H 4K Samsung Vision AI Smart TV (2026)",Default,"100""",MRN100R85HFXZC,"$17,999.99","$19,999.99",From $750.00/mo for 24 mos,None,"Save $1,100.00",4.7,188,In Stock,https://www.samsung.com/ca/tvs/micro-rgb/r85h-100-inch-4k-smart-tv-mrn100r85hfxzc/
"65"" Micro RGB R85H 4K Samsung Vision AI Smart TV (2026)",Default,"85""",MRN85R85HAFXZC,"$4,499.99","$5,499.99",From $187.50/mo for 24 mos,None,"Save $1,100.00",4.7,188,In Stock,https://www.samsung.com/ca/tvs/micro-rgb/r85h-85-inch-4k-smart-tv-mrn85r85hafxzc/
"65"" Micro RGB R85H 4K Samsung Vision AI Smart TV (2026)",Default,"75""",MRN75R85HAFXZC,"$2,999.99","$3,999.99",From $125.00/mo for 24 mos,None,"Save $1,100.00",4.7,188,In Stock,https://www.samsung.com/ca/tvs/micro-rgb/r85h-75-inch-4k-smart-tv-mrn75r85hafxzc/
"65"" Micro RGB R85H 4K Samsung Vision AI Smart TV (2026)",Default,"65""",MRN65R85HAFXZC,"$1,899.99","$2,999.99",From $61.29/mo for 36 mos,None,"Save $1,100.00",4.7,188,In Stock,https://www.samsung.com/ca/tvs/micro-rgb/r85h-65-inch-4k-smart-tv-mrn65r85hafxzc/
"65"" Micro RGB R85H 4K Samsung Vision AI Smart TV (2026)",Default,"55""",MRN55R85HAFXZC,"$1,499.99","$2,299.99",From $48.39/mo for 36 mos,None,"Save $1,100.00",4.7,188,In Stock,https://www.samsung.com/ca/tvs/micro-rgb/r85h-55-inch-4k-smart-tv-mrn55r85hafxzc/
"65"" OLED S90H 4K Samsung Vision AI Smart TV (2026)",Default,"83""",QN83S90HAEXZC,"$4,999.99","$6,499.99",From $208.33/mo for 24 mos,OLED TV Savings Ev...,"Save $1,000.00",4.9,307,In Stock,https://www.samsung.com/ca/tvs/oled-tv/s90h-83-inch-4k-smart-tv-qn83s90haexzc/
"65"" OLED S90H 4K Samsung Vision AI Smart TV (2026)",Default,"77""",QN77S90HAEXZC,"$3,199.99","$4,499.99",From $133.33/mo for 24 mos,OLED TV Savings Ev...,"Save $1,000.00",4.9,307,In Stock,https://www.samsung.com/ca/tvs/oled-tv/s90h-77-inch-4k-smart-tv-qn77s90haexzc/
"65"" OLED S90H 4K Samsung Vision AI Smart TV (2026)",Default,"65""",QN65S90HAEXZC,"$1,999.99","$2,999.99",From $83.33/mo for 24 mos,OLED TV Savings Ev...,"Save $1,000.00",4.9,307,In Stock,https://www.samsung.com/ca/tvs/oled-tv/s90h-65-inch-4k-smart-tv-qn65s90haexzc/
"65"" OLED S90H 4K Samsung Vision AI Smart TV (2026)",Default,"55""",QN55S90HAEXZC,"$1,699.99","$2,299.99",From $70.83/mo for 24 mos,OLED TV Savings Ev...,"Save $1,000.00",4.9,307,In Stock,https://www.samsung.com/ca/tvs/oled-tv/s90h-55-inch-4k-smart-tv-qn55s90haexzc/
"65"" OLED S90H 4K Samsung Vision AI Smart TV (2026)",Default,"48""",QN48S90HAEXZC,"$1,399.99","$1,799.99",From $58.33/mo for 24 mos,OLED TV Savings Ev...,"Save $1,000.00",4.9,307,In Stock,https://www.samsung.com/ca/tvs/oled-tv/s90h-48-inch-4k-smart-tv-qn48s90haexzc/
