Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
Galaxy Tab S11 Ultra,gray,512 GB,SM-X930NZAEXAC,"$1,699.99","$2,049.99",From $47.22/mo for 36 mos,PICK,Save $350.00,4.8,1089,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s11-ultra-gray-512gb-sm-x930nzaexac/
Galaxy Tab S11 Ultra,gray,256 GB,SM-X930NZAAXAC,"$1,399.99","$1,749.99",From $38.89/mo for 36 mos,PICK,Save $350.00,4.8,1089,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s11-ultra-gray-256gb-sm-x930nzaaxac/
Galaxy Tab S11 Ultra,silver,512 GB,SM-X930NZSEXAC,"$1,699.99","$2,049.99",From $47.22/mo for 36 mos,PICK,Save $350.00,4.8,1089,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s11-ultra-silver-512gb-sm-x930nzsexac/
Galaxy Tab S11 Ultra,silver,256 GB,SM-X930NZSAXAC,"$1,399.99","$1,749.99",From $38.89/mo for 36 mos,PICK,Save $350.00,4.8,1089,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s11-ultra-silver-256gb-sm-x930nzsaxac/
"Galaxy Tab S10+ (12.4"", Wi-Fi)",silver,512 GB,SM-X820NZSEXAC,"$1,799.99",Not Available,From $50.00/mo for 36 mos,PICK,None,4.8,1858,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-plus-wi-fi-silver-512gb-sm-x820nzsexac/
"Galaxy Tab S10+ (12.4"", Wi-Fi)",silver,256 GB,SM-X820NZSAXAC,"$1,499.99",Not Available,From $41.67/mo for 36 mos,PICK,None,4.8,1858,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-plus-wi-fi-silver-256gb-sm-x820nzsaxac/
"Galaxy Tab S10+ (12.4"", Wi-Fi)",gray,512 GB,SM-X820NZAEXAC,"$1,799.99",Not Available,From $50.00/mo for 36 mos,PICK,None,4.8,1858,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-plus-wi-fi-gray-512gb-sm-x820nzaexac/
"Galaxy Tab S10+ (12.4"", Wi-Fi)",gray,256 GB,SM-X820NZAAXAC,"$1,499.99",Not Available,From $41.67/mo for 36 mos,PICK,None,4.8,1858,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-plus-wi-fi-gray-256gb-sm-x820nzaaxac/
Galaxy Tab S11,silver,512 GB,SM-X730NZSIXAC,"$1,699.99",Not Available,From $47.22/mo for 36 mos,None,None,4.7,1251,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s11-silver-512gb-sm-x730nzsixac/
Galaxy Tab S11,silver,256 GB,SM-X730NZSEXAC,"$1,399.99",Not Available,From $38.89/mo for 36 mos,None,None,4.7,1251,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s11-silver-256gb-sm-x730nzsexac/
Galaxy Tab S11,silver,128 GB,SM-X730NZSAXAC,"$1,249.99",Not Available,From $34.72/mo for 36 mos,None,None,4.7,1251,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s11-silver-128gb-sm-x730nzsaxac/
Galaxy Tab S11,gray,512 GB,SM-X730NZAIXAC,"$1,699.99",Not Available,From $47.22/mo for 36 mos,None,None,4.7,1251,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s11-gray-512gb-sm-x730nzaixac/
Galaxy Tab S11,gray,256 GB,SM-X730NZAEXAC,"$1,399.99",Not Available,From $38.89/mo for 36 mos,None,None,4.7,1251,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s11-gray-256gb-sm-x730nzaexac/
Galaxy Tab S11,gray,128 GB,SM-X730NZAAXAC,"$1,249.99",Not Available,From $34.72/mo for 36 mos,None,None,4.7,1251,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s11-gray-128gb-sm-x730nzaaxac/
"Galaxy Tab S10 FE+ (13.1"", Wi-Fi)",Default,Default,SM-X620NZSEXAC,"$1,179.99",Not Available,From $49.17/mo for 24 mos,None,None,4.5,20,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-fe-plus-silver-256gb-sm-x620nzsexac/
Galaxy Tab S10 Lite,coralred,256 GB,SM-X400NZREXAC,$729.99,Not Available,From $30.42/mo for 24 mos,None,None,4.6,56,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-lite-coralred-256gb-sm-x400nzrexac/
Galaxy Tab S10 Lite,coralred,128 GB,SM-X400NZRAXAC,$579.99,Not Available,From $24.17/mo for 24 mos,None,None,4.6,56,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-lite-coralred-128gb-sm-x400nzraxac/
Galaxy Tab S10 Lite,silver,256 GB,SM-X400NZSEXAC,$729.99,Not Available,From $30.42/mo for 24 mos,None,None,4.6,56,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-lite-silver-256gb-sm-x400nzsexac/
Galaxy Tab S10 Lite,silver,128 GB,SM-X400NZSAXAC,$579.99,Not Available,From $24.17/mo for 24 mos,None,None,4.6,56,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-lite-silver-128gb-sm-x400nzsaxac/
Galaxy Tab S10 Lite,gray,256 GB,SM-X400NZAEXAC,$729.99,Not Available,From $30.42/mo for 24 mos,None,None,4.6,56,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-lite-gray-256gb-sm-x400nzaexac/
Galaxy Tab S10 Lite,gray,128 GB,SM-X400NZAAXAC,$579.99,Not Available,From $24.17/mo for 24 mos,None,None,4.6,56,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-lite-gray-128gb-sm-x400nzaaxac/
Galaxy Tab A11+ 5G,awesome gray,128 GB,SM-X238UZAAXAC,$509.99,Not Available,From $21.25/mo for 24 mos,None,None,4.8,499,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-a/galaxy-tab-a11-plus-gray-128gb-sm-x238uzaaxac/
Galaxy Tab S10 FE 5G,gray,128 GB,SM-X528UZAAXAC,$929.99,Not Available,From $38.75/mo for 24 mos,None,None,4.8,1339,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-fe-gray-128gb-sm-x528uzaaxac/
